problem size: num_tokens=1024 d_model=512 d_ff=128 num_experts=512 top_k=2 (300 iterations)
Optimized time: 0.783651 s
Result is correct! (rel RMSE: 0.000246886, worst token: 0.00843211 at 499)
[ perf record: Woken up 2 times to write data ]
[ perf record: Captured and wrote 0.702 MB /tmp/s4_perf.data (18233 samples) ]
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles:Pu'
# Event count (approx.): 48909740168
#
# Overhead  Source:Line                     
# ........  ................................
#
    29.03%  xmmintrin.h:1337
    20.32%  moe_opt.cpp:2402
     9.04%  moe_opt.cpp:622
     7.69%  moe_opt.cpp:2401
     5.23%  atomic_base.h:501
     2.69%  moe_opt.cpp:2894
     2.50%  moe_opt.cpp:775
     1.69%  moe_opt.cpp:2300
     1.22%  avx512fintrin.h:14192
     1.21%  avx512fintrin.h:13728
     0.93%  moe_opt.cpp:2367
     0.92%  moe_opt.cpp:2399
     0.85%  moe_ref.cpp:78
     0.80%  moe_opt.cpp:705
     0.74%  moe_opt.cpp:2370
     0.70%  moe_opt.cpp:2309
     0.56%  moe_opt.cpp:2892
     0.52%  moe_opt.cpp:2756
     0.50%  moe_opt.cpp:2398
     0.48%  random.tcc:416
     0.39%  stl_algo.h:1797
     0.37%  uniform_int_dist.h:287
     0.35%  uniform_int_dist.h:373
     0.31%  avx512fintrin.h:14946
     0.30%  moe_opt.cpp:2334
     0.30%  moe_opt.cpp:2288
     0.29%  moe_opt.cpp:704
     0.27%  moe_opt.cpp:2410
     0.25%  random.tcc:408
     0.24%  memmove-vec-unaligned-erms.S:263
     0.22%  moe_opt.cpp:710
     0.22%  moe_opt.cpp:708
     0.22%  uniform_int_dist.h:204
     0.20%  random.tcc:464
     0.20%  avx512fintrin.h:16312
     0.20%  avx512fintrin.h:13848
     0.19%  uniform_int_dist.h:305
     0.18%  memmove@plt+0
     0.17%  avx512fintrin.h:4233
     0.17%  avx512fintrin.h:5442
     0.16%  moe_opt.cpp:2445
     0.16%  avx512fintrin.h:5036
     0.16%  uniform_int_dist.h:280
     0.15%  e_expf.c:98
     0.14%  memmove-vec-unaligned-erms.S:302
     0.14%  moe_ref.cpp:77
     0.14%  random.tcc:465
     0.14%  moe_opt.cpp:2411
     0.14%  moe_opt.cpp:728
     0.14%  avx512fintrin.h:10653
     0.12%  moe_ref.cpp:34
     0.12%  moe_opt.cpp:718
     0.12%  moe_opt.cpp:2331
     0.12%  moe_opt.cpp:2449
     0.12%  moe_opt.cpp:713
     0.11%  random.tcc:466
     0.11%  memmove-vec-unaligned-erms.S:358
     0.11%  moe_opt.cpp:755
     0.11%  random.tcc:463
     0.10%  avx512fintrin.h:9376
     0.10%  avx512fintrin.h:14544
     0.10%  moe_opt.cpp:723
     0.10%  moe_opt.cpp:2745
     0.09%  data.cpp:15
     0.09%  random.tcc:412
     0.09%  moe_opt.cpp:741
     0.09%  avx512fintrin.h:9402
     0.09%  moe_ref.cpp:56
     0.08%  moe_opt.cpp:2409
     0.08%  uniform_int_dist.h:271
     0.08%  emmintrin.h:736
     0.08%  avx512fintrin.h:8989
     0.07%  data.cpp:46
     0.07%  moe_opt.cpp:2615
     0.07%  random.tcc:458
     0.07%  avx512fintrin.h:11673
     0.07%  data.cpp:42
     0.07%  moe_ref.cpp:35
     0.07%  memmove-vec-unaligned-erms.S:306
     0.07%  memmove-vec-unaligned-erms.S:357
     0.06%  moe_opt.cpp:2414
     0.06%  e_expf.c:104
     0.06%  moe_opt.cpp:725
     0.06%  moe_opt.cpp:2787
     0.06%  moe_opt.cpp:752
     0.06%  random.tcc:3367
     0.06%  moe_ref.cpp:55
     0.06%  memset-vec-unaligned-erms.S:326
     0.05%  moe_opt.cpp:2758
     0.05%  moe_opt.cpp:2730
     0.05%  moe_opt.cpp:720
     0.05%  moe_opt.cpp:194
     0.05%  moe_opt.cpp:178
     0.05%  moe_opt.cpp:679
     0.05%  moe_opt.cpp:715
     0.05%  memmove-vec-unaligned-erms.S:354
     0.04%  avx512fintrin.h:13973
     0.04%  xmmintrin.h:240
     0.04%  moe_opt.cpp:180
     0.04%  avxintrin.h:296
     0.04%  moe_opt.cpp:730
     0.04%  random.tcc:1836
     0.04%  e_expf.c:94
     0.04%  moe_opt.cpp:2376
     0.04%  e_expf.c:60
     0.03%  expf@plt+0
     0.03%  e_expf.c:105
     0.03%  memmove-vec-unaligned-erms.S:347
     0.03%  moe_opt.cpp:749
     0.03%  moe_opt.cpp:668
     0.03%  moe_opt.cpp:676
     0.03%  moe_opt.cpp:2755
     0.03%  moe_opt.cpp:743
     0.03%  avx512fintrin.h:13788
     0.03%  avxintrin.h:526
     0.03%  data.cpp:13
     0.03%  moe_ref.cpp:33
     0.03%  random.tcc:404
     0.03%  e_expf.c:80
     0.03%  memmove-vec-unaligned-erms.S:356
     0.03%  moe_opt.cpp:2424
     0.03%  moe_opt.cpp:2446
     0.03%  memmove-vec-unaligned-erms.S:368
     0.03%  avx512fintrin.h:14043
     0.03%  e_expf.c:62
     0.03%  e_expf.c:90
     0.03%  memmove-vec-unaligned-erms.S:309
     0.03%  cmath:443
     0.02%  moe_opt.cpp:2774
     0.02%  moe_opt.cpp:2626
     0.02%  memmove-vec-unaligned-erms.S:355
     0.02%  e_expf.c:92
